id;inverse_temperature;learning_rate;eligibility_trace_decay;mixing_weight_low_effort;mixing_weight_high_effort_0;mixing_weight_high_effort_1
subject1;3.42055263211147;0.00512129392020892;6.20036051588619e-07;0.999997681673416;9.04969323690732e-07;5.24774963136296e-07
subject2;3.4678214393653;0.999999999633223;1.74254971805979e-08;0.999999998281551;0.952446021368511;0.99999999765313
subject3;6.25416557236621;0.823065770469937;0.89417222226449;0.814255160541781;0.894852016411257;0.999999814557781
subject4;3.4103684249284;0.705743973716745;0.999999986153032;0.897530229331594;0.465944418006298;0.999999980767787
subject5;2.41059646875088;0.217695642146047;0.999999973707538;0.999999966025926;0.711182202527612;4.91896299393652e-08
subject6;4.49065971343522;0.999999993067804;0.0553175592442397;0.999999995212686;0.851706892055685;0.999999998867467
subject7;7.96277835612593;0.0493205882337423;1.9351641204593e-09;0.104818217496664;0.232264664491988;1.13863756160809e-09
subject8;4.83954841227078;0.939376160569841;0.999999994544407;0.999999998817705;0.7925698734045;0.999999996205256
subject9;8.2336339552813;0.0764084760520408;0.855488055263689;0.900559464633731;0.146657873558261;0.334533392701168
subject10;5.14592921623577;0.999999999100266;0.999999572219661;0.950275269409519;0.836949798361779;0.999999995537867
subject11;7.31249205135723;0.960510755227381;0.560197812211067;0.999999972072593;0.837646980812;0.999999720393443
subject12;4.11178788784327;0.999999997423725;0.999999984748116;0.987278432382349;0.801103749396023;0.869534865085208
subject13;6.05427297184254;0.999999998715358;6.8161812797155e-09;0.999999989805299;0.796337646096124;0.999999994868803
subject14;7.42613966258394;0.854678415016863;0.481601897609832;0.999999996468085;0.730713448797267;0.898016186590799
subject15;4.12304311956127;0.757863289269546;0.704023731799973;0.999999991752725;1.3463676918569e-08;0.766704219956821
subject16;6.02110460151243;0.684977314905156;0.732346181446015;0.872398158246906;0.427575347009876;0.999999954990769
subject17;5.37691757303903;0.999999978241503;3.70965337996473e-08;0.975698304092698;0.914141820039423;0.890547757493886
subject18;5.3692434968539;0.999999993347911;0.0873495502700148;0.999999996751908;0.999999995903299;0.772436185079819
subject19;7.43958977224784;0.789823052867013;0.999999998196351;0.879444631818966;0.392650620849601;0.999999993429302
subject20;4.93394630270098;0.999999936528628;5.85627846186377e-08;0.865449112707812;0.99999997612187;0.867579893291587
subject21;3.41464820624642;0.802414301905139;0.507185602497444;0.999999770029049;0.313687450739719;0.60508185324451
subject22;5.14019361271155;0.874729057751958;0.999999991093825;0.999999994737676;0.587635993049797;0.999999998509004
subject23;4.14206026943812;0.999999997734687;0.585467542606698;0.999999997171408;0.655497814784106;0.999999986492428
subject24;5.92966991380937;0.703688918632318;0.999999993196717;0.999999993988773;0.792298343568251;0.999999997673176
subject25;3.49836246049078;0.999999979547863;0.999999965230316;0.964899449555329;0.94341313095675;0.504744839135645
subject26;4.77879196649009;0.999999999076609;0.0644683538593193;0.99999999772051;0.827411285491462;0.712963349795684
subject27;1.93542515984313;0.740416554700953;0.239827850702534;0.697645805425261;0.640114318191077;0.999997900361322
subject28;3.08294278190604;0.69524723274784;0.341741942566263;0.745068408442334;0.572548876210098;0.440595848438092
subject29;4.77129146245205;0.999999997977806;0.431202541020483;0.999999996647286;0.82230690347187;0.999999959631847
subject30;3.83901415797546;0.999999999307695;1.619929499706e-08;0.999999997811407;0.906977322682554;0.975339160788167
subject31;5.97815237393838;0.999999999478325;0.999999991104848;0.999999996399668;0.859190823230736;0.999999998901769
subject32;8.33924075720011;0.0224621506362349;0.999999996678596;0.82803371088913;5.68978819447756e-09;1.13522449500206e-09
subject33;3.58208852406254;0.79417009864619;0.0477473512470388;0.92584491709431;0.274924364562895;0.960221182872876
subject34;3.34933259745272;0.999999997994898;2.02282633009497e-07;0.884068292092933;0.855469847620689;0.99999999775836
subject35;1.78954956843;0.261736110638114;2.85055406155389e-07;8.48987906802732e-07;0.566622904946951;1.27589096899933e-06
subject36;3.95705319622613;0.00919574128753484;4.39119590938765e-07;2.47808070208091e-07;0.999999724646492;1.95293288372485e-06
subject37;4.88113195382404;0.999999986326197;0.999999986195243;0.973532918290199;0.594266147292215;0.999999988401205
subject38;2.49562071395195;0.100554503877723;0.00296003897610365;0.000526852500541718;0.999319049470415;0.000697020797590457
subject39;4.8508693948636;0.873855466194273;0.242702743852117;0.999999951023748;0.999999930773401;0.468370694607998
subject40;5.77682315038791;0.999999997445669;0.537924546196503;0.947810663086403;0.759192825699386;0.791320983604542
subject41;4.00311554272649;0.999999997906216;0.999999986936363;0.791852924706906;0.708119925060706;0.950432700459783
subject42;3.43011107330531;0.995950806889617;0.952005615082068;0.993906602496639;0.417288442946948;0.796654996148582
subject43;5.36041535057578;0.77197011171463;1.08948218538674e-05;0.99999607021918;0.722520671430476;0.993004814210057
subject44;3.67777158534028;0.999999998235918;0.727860731439408;0.99999999817566;0.630323403751795;0.999999996416471
subject45;3.05225600240035;0.877772362894019;0.935648664670947;3.42703722965176e-09;0.999999980632033;0.44108213366574
subject46;3.56285276681109;0.628613695089791;0.999999940214786;0.99999997274009;6.75659783049132e-08;0.737583667377196
subject47;3.27755157766949;0.823327960693555;0.446549873432335;0.999999772015;0.710689394288282;0.957166240743399
subject48;4.75163139512532;0.882116081633474;0.999999998194161;0.818909946253515;0.520507423880424;0.999999876410303
subject49;3.16069817523893;0.057667655869881;0.000639681970845084;0.00107602491261142;0.998905061858842;0.000753320559705479
subject50;4.08031676104099;0.999999998481842;0.645229818383433;0.99999999812864;0.844102179173168;0.999999988612315
subject51;3.90161239347754;0.0474077792251982;0.9999999719951;0.298924985949457;8.93061053516403e-08;1.79403224233705e-07
subject52;1.40053666524997;0.999999986297793;0.99999948275568;0.99999992563711;0.890850504899372;0.774421993782118
subject53;8.05881686222568;0.999999998746179;0.761852856104045;0.999999997203487;0.999999997888238;0.99999999777595
subject54;2.86635537551845;0.53211904768207;0.900460363426667;0.999999960697609;0.513857102409213;0.741508693591169
subject55;1.8176488791892;0.31393611633334;1.51615690047933e-07;0.0263647654270858;2.10920986623801e-07;0.999999950307477
subject56;3.0373468422178;0.999999956618629;0.999999899473182;0.644967910206784;0.824953966976986;0.999999980271794
subject57;3.20147300455212;0.85112181690231;0.24054628307501;0.999999976506149;0.868678711573759;0.351552754274383
subject58;5.9698302001184;0.551222536546563;0.856988576401008;0.652032163682846;0.302970818299949;0.739995454645216
subject59;7.06566406974908;0.960214422844711;0.999999907052696;0.946670435718346;0.999999997412935;0.999999991827434
subject60;6.04832466324936;0.999999992957853;0.99999995969757;0.836372726285033;0.999999993423881;0.686252295743123
subject61;6.25729800538698;0.999999997802236;1.17844913936681e-08;0.830965563568684;0.999999997349554;0.787399163467842
subject62;5.95317914220628;0.913096252501735;0.999999940851133;0.996232744331151;0.99999999897565;0.821846981154198
subject63;5.24078498749155;0.999999999258986;0.594532648612568;0.999999998409512;0.834452919102593;0.999999995376766
